sequence,frames,myeco_auc,ostrack_auc,stark_auc
Freeman1,326,0.7002629272567924,0.7090271691498684,0.7100496640373941
Freeman3,460,0.7745341614906833,0.5925465838509316,0.5106625258799171
Freeman4,283,0.5970048796903921,0.7149587750294465,0.662796567390207
Girl,500,0.7532380952380953,0.763904761904762,0.7503809523809524
Girl2,1500,0.6363174603174604,0.6730476190476191,0.705079365079365
Gym,767,0.47314832060594786,0.6941702365431179,0.711740237163966
Human2,1128,0.7767646065518408,0.7418524147247552,0.7441320499831139
Human3,1698,0.6495877502944641,0.7467048067754781,0.7242133602557631
Human4-2,667,0.48847005068894134,0.5887056471764119,0.5990576140501179
Human5,713,0.7786014826688037,0.7851465972083083,0.770720630468176
Human6,792,0.7415223665223666,0.7096560846560847,0.6828403078403078
Human7,250,0.8078095238095238,0.8712380952380953,0.8729523809523811
Human8,128,0.7548363095238095,0.84375,0.8407738095238095
Human9,305,0.7857923497267759,0.8590163934426231,0.8583918813427012
Ironman,166,0.5174985656913367,0.3278829604130809,0.32472748135398743
Jogging-1,307,0.7653172017992864,0.6226151698464402,0.6376609275632077
Jogging-2,307,0.7660927563207691,0.7186288196060182,0.7369319063130138
Jump,122,0.3657298985167837,0.7490241998438721,0.7111631537861047
Jumping,313,0.6555606268066333,0.6503879507074396,0.6756427810740911
KiteSurf,84,0.7777777777777779,0.7352607709750567,0.7545351473922903
Lemming,1336,0.7779441117764472,0.7668234958654119,0.7753065297975478
Liquor,1741,0.8100708405131152,0.7671289078526298,0.7840595169716367
Man,134,0.7469793887704336,0.8486140724946694,0.8180525941719972
Matrix,100,0.5476190476190477,0.7195238095238095,0.49523809523809526
Mhyang,1490,0.7721955896452541,0.7829977628635346,0.7713966123362097
MotorRolling,164,0.6396631823461091,0.8365272938443672,0.7967479674796751
MountainBike,228,0.6169590643274854,0.8212197159565578,0.827485380116959
Panda,1000,0.47342857142857137,0.6295714285714284,0.6231904761904761
RedTeam,1918,0.6412185312081037,0.7431103828392671,0.7121753811013456
Rubik,1997,0.777261129789923,0.6619452989007322,0.6704580680544627
Shaking,365,0.7371167645140247,0.35342465753424657,0.2311806914546641
Singer1,351,0.8450685117351785,0.7614977614977614,0.7825261158594491
Singer2,366,0.0827478532396565,0.40189955763726254,0.5431954202446005
Skater,160,0.6017857142857141,0.6205357142857142,0.7663690476190478
Skater2,435,0.6213464696223316,0.696223316912972,0.6692939244663382
Skating1,400,0.559047619047619,0.6583333333333333,0.5061904761904762
Skating2-1,473,0.4671297694553508,0.5608577469042585,0.5647840531561461
Skating2-2,473,0.5253196415987114,0.620255713278969,0.6045504882714186
Skiing,81,0.5073486184597295,0.6854791299235742,0.6637272192827747
Soccer,392,0.527089407191448,0.27781827016520894,0.40573372206025254
Subway,175,0.6889795918367347,0.7657142857142858,0.7902040816326532
Surfer,376,0.7006079027355623,0.5996707193515703,0.6632472137791287
Suv,945,0.7888636936255983,0.6980095742000505,0.7264802217183169
Sylvester,1345,0.7388564347672154,0.7467162329615862,0.7423260754115774
Tiger1,349,0.24737344794651386,0.261563651248465,0.25337699549733933
Tiger2,365,0.6581865622961512,0.6695368558382256,0.6971950424005218
Toy,271,0.6376735195923389,0.7670005271481288,0.740291688631172
Trans,124,0.5779569892473118,0.8003072196620584,0.7373271889400923
Trellis,569,0.7606494267302703,0.652857979747259,0.6815633107373001
Twinnings,472,0.6051251008878127,0.832324455205811,0.8032687651331718
Vase,271,0.5009664382358109,0.7882621683359691,0.7306273062730627
Walking,412,0.7376329172445677,0.771497919556172,0.7593619972260749
Walking2,500,0.362,0.8117142857142855,0.7983809523809521
Woman,597,0.636675440695541,0.5782882667304777,0.5929648241206029
